Usage (kWh),TimeOfDay,VoltageFluctuations,NumberOfResidents,ApplianceCount,IndustrialAreaNearby,PreviousTheftHistory,AverageDailyUsage,BillPaymentDelay (days),UnusualUsageSpike,Theft
464,3,3,7,25,0,1,43,25,1,1
392,3,2,6,8,1,0,26,11,0,0
199,3,0,4,10,0,1,50,36,1,1
250,3,1,6,24,0,1,21,72,1,1
67,1,0,1,22,0,1,27,1,0,0
313,2,3,1,6,1,0,25,25,0,0
284,3,1,8,7,0,1,11,12,1,1
273,3,1,3,10,0,0,22,44,1,0
359,3,0,7,13,0,1,21,79,0,1
415,1,1,2,13,0,1,42,63,1,1
317,3,3,9,16,1,0,18,64,0,0
431,1,2,6,12,0,1,19,8,1,1
368,4,3,7,9,0,1,48,39,1,1
385,1,1,6,21,0,1,10,81,1,1
395,2,2,9,13,1,0,29,28,1,0
53,2,0,9,21,1,0,26,37,1,0
262,4,2,9,14,1,0,24,38,1,0
452,4,3,6,24,1,0,49,57,1,0
135,1,3,1,10,1,1,46,62,1,1
276,3,1,4,10,0,1,10,34,0,0
333,2,3,7,20,1,1,40,28,1,1
72,4,1,7,23,1,1,43,83,0,1
495,1,0,1,18,1,0,30,73,1,1
259,2,0,7,22,0,1,41,90,0,1
421,4,1,8,15,0,1,29,82,1,1
393,3,1,4,8,0,1,34,73,0,1
294,2,1,2,7,0,0,47,75,0,0
492,3,0,8,17,1,1,37,86,1,1
273,4,3,7,10,0,1,32,63,1,1
268,1,1,10,20,0,0,42,65,0,0
499,3,0,3,5,0,1,35,78,1,1
77,3,3,3,19,1,1,37,48,1,1
329,4,0,9,12,0,1,25,17,1,1
366,4,1,4,24,1,1,17,61,0,1
328,2,0,7,9,1,1,43,25,1,1
144,2,3,3,6,0,1,14,10,0,0
432,4,0,8,22,0,1,42,10,1,1
92,3,1,3,10,0,0,31,56,0,0
201,3,2,10,13,1,0,15,41,0,0
455,4,3,1,5,1,1,30,3,1,1
348,2,0,5,6,1,1,19,66,0,1
469,3,0,7,11,1,0,23,50,1,0
381,4,2,2,14,0,1,29,3,0,0
401,3,3,1,20,1,0,19,3,1,0
483,4,2,7,6,0,0,12,36,1,0
352,1,2,1,18,0,0,17,14,0,0
349,2,0,2,16,0,0,14,76,0,0
363,4,1,6,7,0,0,24,24,0,0
367,4,1,5,23,0,1,39,0,0,0
244,2,1,10,24,1,1,39,37,1,1
199,3,1,8,7,0,1,19,36,1,1
481,2,3,1,15,0,0,33,6,1,0
291,2,2,6,22,1,0,38,42,1,0
56,1,3,4,19,0,1,31,56,0,0
83,4,3,10,14,1,1,37,50,1,1
292,1,0,6,11,1,0,27,59,1,0
92,1,3,8,22,1,1,49,50,1,1
247,3,0,1,24,1,1,17,85,1,1
382,2,0,9,16,0,1,30,52,1,1
433,4,2,4,12,1,1,36,28,1,1
71,1,3,4,6,1,1,20,72,1,1
316,3,3,1,10,1,1,17,58,0,0
231,4,0,9,15,0,0,46,17,1,0
175,2,3,3,14,1,1,21,83,0,1
244,2,0,4,24,1,0,49,65,1,1
112,3,3,9,22,0,0,13,11,0,0
350,2,2,2,24,0,0,30,64,0,0
150,4,2,8,8,1,1,28,71,0,1
70,1,1,4,19,0,0,47,50,0,0
396,2,3,7,18,1,1,49,60,0,0
209,4,3,4,15,1,0,40,85,0,0
216,4,1,8,19,1,0,39,83,0,0
134,2,3,6,16,1,0,47,50,0,0
357,3,0,1,9,0,0,33,20,0,0
350,3,1,10,11,0,0,37,53,1,0
365,2,2,9,16,1,1,13,73,1,1
317,4,3,7,20,0,1,26,35,0,0
268,1,3,1,12,0,1,21,27,1,1
326,4,3,2,16,1,0,33,65,1,1
56,1,2,6,19,0,0,25,71,0,0
75,4,0,8,7,0,1,13,64,0,1
373,4,1,3,9,0,0,16,74,0,0
175,1,2,3,22,1,1,26,75,0,1
366,4,2,1,11,1,0,31,39,0,0
439,3,2,6,21,1,1,14,16,1,1
61,2,2,7,13,0,1,16,88,1,1
452,2,1,4,20,1,1,49,53,1,1
280,2,0,8,12,0,0,20,56,0,0
151,4,2,3,20,1,1,22,54,0,0
336,2,0,6,8,1,1,28,52,1,1
283,4,0,10,12,0,1,12,42,0,0
463,2,3,9,23,1,0,28,12,1,0
173,4,3,6,8,1,1,41,62,1,1
106,2,3,4,19,1,1,45,26,1,1
132,1,0,10,9,1,1,50,90,1,1
398,1,2,6,10,0,0,25,43,0,0
354,1,1,10,25,1,1,44,65,1,1
74,2,0,6,18,1,1,17,10,1,1
206,2,3,10,17,0,0,46,48,0,0
468,2,2,2,12,1,1,22,14,1,1
439,1,0,9,17,0,1,12,71,1,1
351,2,0,9,18,1,1,38,18,1,1
351,4,2,9,12,0,1,31,7,1,1
443,2,3,7,18,1,1,37,40,1,1
97,3,0,7,18,0,0,31,61,0,0
344,1,2,5,9,0,1,26,8,0,0
407,1,2,5,14,1,1,44,4,1,1
428,1,0,8,6,1,0,43,35,1,0
451,3,0,8,14,1,1,44,75,1,1
349,4,1,4,25,1,1,33,2,1,1
90,4,1,1,24,1,1,48,64,0,1
226,2,2,2,19,1,0,30,75,0,0
350,4,1,3,24,1,0,16,40,0,0
479,1,3,2,23,1,1,37,54,1,1
139,4,0,4,21,1,1,27,89,1,1
451,1,2,9,25,0,1,39,80,1,1
270,2,0,8,8,1,1,15,80,1,1
373,2,2,2,21,0,1,23,19,1,1
432,2,3,2,14,0,1,23,44,1,1
467,3,2,3,7,0,0,47,24,1,0
88,4,1,4,6,1,1,49,2,1,1
116,2,0,10,15,0,0,20,48,1,0
50,3,3,9,6,1,1,14,59,1,1
440,3,3,10,5,0,1,19,77,1,1
321,1,1,10,16,1,0,17,49,0,0
359,1,0,4,6,1,0,49,18,1,0
275,1,1,3,16,0,1,36,0,1,1
453,1,0,9,8,0,0,19,16,1,0
61,1,2,3,5,1,0,20,47,1,0
488,1,0,6,23,0,1,37,10,1,1
250,1,2,7,22,1,1,11,79,0,1
295,2,0,10,12,1,0,25,60,0,0
176,2,1,10,10,0,0,31,63,1,1
463,3,3,4,21,1,1,33,57,1,1
401,2,1,1,22,1,0,26,15,1,0
348,3,2,8,17,0,1,40,46,0,0
479,4,3,9,11,1,0,29,28,1,0
469,1,1,9,9,0,1,30,7,1,1
179,1,0,2,7,0,1,33,87,0,1
450,2,2,8,7,1,0,15,82,1,1
259,4,1,7,20,1,1,14,18,1,1
124,4,1,5,20,0,0,40,31,1,0
291,1,0,1,25,0,1,20,76,1,1
417,2,3,4,14,1,1,21,11,1,1
374,2,0,2,12,0,0,48,51,0,0
442,2,3,8,14,1,1,44,87,1,1
248,3,3,6,24,0,0,18,45,1,0
121,2,1,5,8,1,0,18,59,1,0
393,3,2,7,14,0,0,27,19,0,0
396,2,1,6,14,1,1,46,85,0,1
236,2,3,10,14,0,0,43,60,0,0
154,2,2,1,18,1,1,36,6,1,1
392,2,1,4,15,0,0,46,48,0,0
257,3,2,5,11,1,1,14,89,0,1
397,2,3,10,7,1,1,34,29,1,1
87,3,3,7,11,0,1,49,32,0,0
300,2,1,9,21,1,0,43,52,0,0
207,1,1,4,15,0,0,10,49,1,0
139,3,2,1,10,1,0,41,44,1,0
303,2,3,4,7,1,1,49,32,1,1
243,3,2,10,6,0,1,14,24,0,0
