Usage (kWh),TimeOfDay,VoltageFluctuations,NumberOfResidents,ApplianceCount,IndustrialAreaNearby,PreviousTheftHistory,AverageDailyUsage,BillPaymentDelay (days),UnusualUsageSpike,Theft,Usage_per_Appliance,Usage_per_Person,Spike_to_Average_Ratio,Time_sin,Time_cos
464,3,3,7,25,0,1,43,25,1,1,17.846153846153847,58.0,10.545454545454545,0.7071067811865476,0.7071067811865476
392,3,2,6,8,1,0,26,11,0,0,43.55555555555556,56.0,14.518518518518519,0.7071067811865476,0.7071067811865476
199,3,0,4,10,0,1,50,36,1,1,18.09090909090909,39.8,3.9019607843137254,0.7071067811865476,0.7071067811865476
250,3,1,6,24,0,1,21,72,1,1,10.0,35.714285714285715,11.363636363636363,0.7071067811865476,0.7071067811865476
67,1,0,1,22,0,1,27,1,0,0,2.9130434782608696,33.5,2.392857142857143,0.25881904510252074,0.9659258262890683
313,2,3,1,6,1,0,25,25,0,0,44.714285714285715,156.5,12.038461538461538,0.49999999999999994,0.8660254037844387
284,3,1,8,7,0,1,11,12,1,1,35.5,31.555555555555557,23.666666666666668,0.7071067811865476,0.7071067811865476
273,3,1,3,10,0,0,22,44,1,0,24.818181818181817,68.25,11.869565217391305,0.7071067811865476,0.7071067811865476
359,3,0,7,13,0,1,21,79,0,1,25.642857142857142,44.875,16.318181818181817,0.7071067811865476,0.7071067811865476
415,1,1,2,13,0,1,42,63,1,1,29.642857142857142,138.33333333333334,9.651162790697674,0.25881904510252074,0.9659258262890683
317,3,3,9,16,1,0,18,64,0,0,18.647058823529413,31.7,16.68421052631579,0.7071067811865476,0.7071067811865476
431,1,2,6,12,0,1,19,8,1,1,33.15384615384615,61.57142857142857,21.55,0.25881904510252074,0.9659258262890683
368,4,3,7,9,0,1,48,39,1,1,36.8,46.0,7.510204081632653,0.8660254037844386,0.5000000000000001
385,1,1,6,21,0,1,10,81,1,1,17.5,55.0,35.0,0.25881904510252074,0.9659258262890683
395,2,2,9,13,1,0,29,28,1,0,28.214285714285715,39.5,13.166666666666666,0.49999999999999994,0.8660254037844387
53,2,0,9,21,1,0,26,37,1,0,2.409090909090909,5.3,1.962962962962963,0.49999999999999994,0.8660254037844387
262,4,2,9,14,1,0,24,38,1,0,17.466666666666665,26.2,10.48,0.8660254037844386,0.5000000000000001
452,4,3,6,24,1,0,49,57,1,0,18.08,64.57142857142857,9.04,0.8660254037844386,0.5000000000000001
135,1,3,1,10,1,1,46,62,1,1,12.272727272727273,67.5,2.872340425531915,0.25881904510252074,0.9659258262890683
276,3,1,4,10,0,1,10,34,0,0,25.09090909090909,55.2,25.09090909090909,0.7071067811865476,0.7071067811865476
333,2,3,7,20,1,1,40,28,1,1,15.857142857142858,41.625,8.121951219512194,0.49999999999999994,0.8660254037844387
72,4,1,7,23,1,1,43,83,0,1,3.0,9.0,1.6363636363636365,0.8660254037844386,0.5000000000000001
495,1,0,1,18,1,0,30,73,1,1,26.05263157894737,247.5,15.96774193548387,0.25881904510252074,0.9659258262890683
259,2,0,7,22,0,1,41,90,0,1,11.26086956521739,32.375,6.166666666666667,0.49999999999999994,0.8660254037844387
421,4,1,8,15,0,1,29,82,1,1,26.3125,46.77777777777778,14.033333333333333,0.8660254037844386,0.5000000000000001
393,3,1,4,8,0,1,34,73,0,1,43.666666666666664,78.6,11.228571428571428,0.7071067811865476,0.7071067811865476
294,2,1,2,7,0,0,47,75,0,0,36.75,98.0,6.125,0.49999999999999994,0.8660254037844387
492,3,0,8,17,1,1,37,86,1,1,27.333333333333332,54.666666666666664,12.947368421052632,0.7071067811865476,0.7071067811865476
273,4,3,7,10,0,1,32,63,1,1,24.818181818181817,34.125,8.272727272727273,0.8660254037844386,0.5000000000000001
268,1,1,10,20,0,0,42,65,0,0,12.761904761904763,24.363636363636363,6.232558139534884,0.25881904510252074,0.9659258262890683
499,3,0,3,5,0,1,35,78,1,1,83.16666666666667,124.75,13.86111111111111,0.7071067811865476,0.7071067811865476
77,3,3,3,19,1,1,37,48,1,1,3.85,19.25,2.026315789473684,0.7071067811865476,0.7071067811865476
329,4,0,9,12,0,1,25,17,1,1,25.307692307692307,32.9,12.653846153846153,0.8660254037844386,0.5000000000000001
366,4,1,4,24,1,1,17,61,0,1,14.64,73.2,20.333333333333332,0.8660254037844386,0.5000000000000001
328,2,0,7,9,1,1,43,25,1,1,32.8,41.0,7.454545454545454,0.49999999999999994,0.8660254037844387
144,2,3,3,6,0,1,14,10,0,0,20.571428571428573,36.0,9.6,0.49999999999999994,0.8660254037844387
432,4,0,8,22,0,1,42,10,1,1,18.782608695652176,48.0,10.046511627906977,0.8660254037844386,0.5000000000000001
92,3,1,3,10,0,0,31,56,0,0,8.363636363636363,23.0,2.875,0.7071067811865476,0.7071067811865476
201,3,2,10,13,1,0,15,41,0,0,14.357142857142858,18.272727272727273,12.5625,0.7071067811865476,0.7071067811865476
455,4,3,1,5,1,1,30,3,1,1,75.83333333333333,227.5,14.67741935483871,0.8660254037844386,0.5000000000000001
348,2,0,5,6,1,1,19,66,0,1,49.714285714285715,58.0,17.4,0.49999999999999994,0.8660254037844387
469,3,0,7,11,1,0,23,50,1,0,39.083333333333336,58.625,19.541666666666668,0.7071067811865476,0.7071067811865476
381,4,2,2,14,0,1,29,3,0,0,25.4,127.0,12.7,0.8660254037844386,0.5000000000000001
401,3,3,1,20,1,0,19,3,1,0,19.095238095238095,200.5,20.05,0.7071067811865476,0.7071067811865476
483,4,2,7,6,0,0,12,36,1,0,69.0,60.375,37.15384615384615,0.8660254037844386,0.5000000000000001
352,1,2,1,18,0,0,17,14,0,0,18.526315789473685,176.0,19.555555555555557,0.25881904510252074,0.9659258262890683
349,2,0,2,16,0,0,14,76,0,0,20.529411764705884,116.33333333333333,23.266666666666666,0.49999999999999994,0.8660254037844387
363,4,1,6,7,0,0,24,24,0,0,45.375,51.857142857142854,14.52,0.8660254037844386,0.5000000000000001
367,4,1,5,23,0,1,39,0,0,0,15.291666666666666,61.166666666666664,9.175,0.8660254037844386,0.5000000000000001
244,2,1,10,24,1,1,39,37,1,1,9.76,22.181818181818183,6.1,0.49999999999999994,0.8660254037844387
199,3,1,8,7,0,1,19,36,1,1,24.875,22.11111111111111,9.95,0.7071067811865476,0.7071067811865476
481,2,3,1,15,0,0,33,6,1,0,30.0625,240.5,14.147058823529411,0.49999999999999994,0.8660254037844387
291,2,2,6,22,1,0,38,42,1,0,12.652173913043478,41.57142857142857,7.461538461538462,0.49999999999999994,0.8660254037844387
56,1,3,4,19,0,1,31,56,0,0,2.8,11.2,1.75,0.25881904510252074,0.9659258262890683
83,4,3,10,14,1,1,37,50,1,1,5.533333333333333,7.545454545454546,2.1842105263157894,0.8660254037844386,0.5000000000000001
292,1,0,6,11,1,0,27,59,1,0,24.333333333333332,41.714285714285715,10.428571428571429,0.25881904510252074,0.9659258262890683
92,1,3,8,22,1,1,49,50,1,1,4.0,10.222222222222221,1.84,0.25881904510252074,0.9659258262890683
247,3,0,1,24,1,1,17,85,1,1,9.88,123.5,13.722222222222221,0.7071067811865476,0.7071067811865476
382,2,0,9,16,0,1,30,52,1,1,22.470588235294116,38.2,12.32258064516129,0.49999999999999994,0.8660254037844387
433,4,2,4,12,1,1,36,28,1,1,33.30769230769231,86.6,11.702702702702704,0.8660254037844386,0.5000000000000001
71,1,3,4,6,1,1,20,72,1,1,10.142857142857142,14.2,3.380952380952381,0.25881904510252074,0.9659258262890683
316,3,3,1,10,1,1,17,58,0,0,28.727272727272727,158.0,17.555555555555557,0.7071067811865476,0.7071067811865476
231,4,0,9,15,0,0,46,17,1,0,14.4375,23.1,4.914893617021277,0.8660254037844386,0.5000000000000001
175,2,3,3,14,1,1,21,83,0,1,11.666666666666666,43.75,7.954545454545454,0.49999999999999994,0.8660254037844387
244,2,0,4,24,1,0,49,65,1,1,9.76,48.8,4.88,0.49999999999999994,0.8660254037844387
112,3,3,9,22,0,0,13,11,0,0,4.869565217391305,11.2,8.0,0.7071067811865476,0.7071067811865476
350,2,2,2,24,0,0,30,64,0,0,14.0,116.66666666666667,11.290322580645162,0.49999999999999994,0.8660254037844387
150,4,2,8,8,1,1,28,71,0,1,16.666666666666668,16.666666666666668,5.172413793103448,0.8660254037844386,0.5000000000000001
70,1,1,4,19,0,0,47,50,0,0,3.5,14.0,1.4583333333333333,0.25881904510252074,0.9659258262890683
396,2,3,7,18,1,1,49,60,0,0,20.842105263157894,49.5,7.92,0.49999999999999994,0.8660254037844387
209,4,3,4,15,1,0,40,85,0,0,13.0625,41.8,5.097560975609756,0.8660254037844386,0.5000000000000001
216,4,1,8,19,1,0,39,83,0,0,10.8,24.0,5.4,0.8660254037844386,0.5000000000000001
134,2,3,6,16,1,0,47,50,0,0,7.882352941176471,19.142857142857142,2.7916666666666665,0.49999999999999994,0.8660254037844387
357,3,0,1,9,0,0,33,20,0,0,35.7,178.5,10.5,0.7071067811865476,0.7071067811865476
350,3,1,10,11,0,0,37,53,1,0,29.166666666666668,31.818181818181817,9.210526315789474,0.7071067811865476,0.7071067811865476
365,2,2,9,16,1,1,13,73,1,1,21.470588235294116,36.5,26.071428571428573,0.49999999999999994,0.8660254037844387
317,4,3,7,20,0,1,26,35,0,0,15.095238095238095,39.625,11.74074074074074,0.8660254037844386,0.5000000000000001
268,1,3,1,12,0,1,21,27,1,1,20.615384615384617,134.0,12.181818181818182,0.25881904510252074,0.9659258262890683
326,4,3,2,16,1,0,33,65,1,1,19.176470588235293,108.66666666666667,9.588235294117647,0.8660254037844386,0.5000000000000001
56,1,2,6,19,0,0,25,71,0,0,2.8,8.0,2.1538461538461537,0.25881904510252074,0.9659258262890683
75,4,0,8,7,0,1,13,64,0,1,9.375,8.333333333333334,5.357142857142857,0.8660254037844386,0.5000000000000001
373,4,1,3,9,0,0,16,74,0,0,37.3,93.25,21.941176470588236,0.8660254037844386,0.5000000000000001
175,1,2,3,22,1,1,26,75,0,1,7.608695652173913,43.75,6.481481481481482,0.25881904510252074,0.9659258262890683
366,4,2,1,11,1,0,31,39,0,0,30.5,183.0,11.4375,0.8660254037844386,0.5000000000000001
439,3,2,6,21,1,1,14,16,1,1,19.954545454545453,62.714285714285715,29.266666666666666,0.7071067811865476,0.7071067811865476
61,2,2,7,13,0,1,16,88,1,1,4.357142857142857,7.625,3.588235294117647,0.49999999999999994,0.8660254037844387
452,2,1,4,20,1,1,49,53,1,1,21.523809523809526,90.4,9.04,0.49999999999999994,0.8660254037844387
280,2,0,8,12,0,0,20,56,0,0,21.53846153846154,31.11111111111111,13.333333333333334,0.49999999999999994,0.8660254037844387
151,4,2,3,20,1,1,22,54,0,0,7.190476190476191,37.75,6.565217391304348,0.8660254037844386,0.5000000000000001
336,2,0,6,8,1,1,28,52,1,1,37.333333333333336,48.0,11.586206896551724,0.49999999999999994,0.8660254037844387
283,4,0,10,12,0,1,12,42,0,0,21.76923076923077,25.727272727272727,21.76923076923077,0.8660254037844386,0.5000000000000001
463,2,3,9,23,1,0,28,12,1,0,19.291666666666668,46.3,15.96551724137931,0.49999999999999994,0.8660254037844387
173,4,3,6,8,1,1,41,62,1,1,19.22222222222222,24.714285714285715,4.119047619047619,0.8660254037844386,0.5000000000000001
106,2,3,4,19,1,1,45,26,1,1,5.3,21.2,2.3043478260869565,0.49999999999999994,0.8660254037844387
132,1,0,10,9,1,1,50,90,1,1,13.2,12.0,2.588235294117647,0.25881904510252074,0.9659258262890683
398,1,2,6,10,0,0,25,43,0,0,36.18181818181818,56.857142857142854,15.307692307692308,0.25881904510252074,0.9659258262890683
354,1,1,10,25,1,1,44,65,1,1,13.615384615384615,32.18181818181818,7.866666666666666,0.25881904510252074,0.9659258262890683
74,2,0,6,18,1,1,17,10,1,1,3.8947368421052633,10.571428571428571,4.111111111111111,0.49999999999999994,0.8660254037844387
206,2,3,10,17,0,0,46,48,0,0,11.444444444444445,18.727272727272727,4.382978723404255,0.49999999999999994,0.8660254037844387
468,2,2,2,12,1,1,22,14,1,1,36.0,156.0,20.347826086956523,0.49999999999999994,0.8660254037844387
439,1,0,9,17,0,1,12,71,1,1,24.38888888888889,43.9,33.76923076923077,0.25881904510252074,0.9659258262890683
351,2,0,9,18,1,1,38,18,1,1,18.473684210526315,35.1,9.0,0.49999999999999994,0.8660254037844387
351,4,2,9,12,0,1,31,7,1,1,27.0,35.1,10.96875,0.8660254037844386,0.5000000000000001
443,2,3,7,18,1,1,37,40,1,1,23.31578947368421,55.375,11.657894736842104,0.49999999999999994,0.8660254037844387
97,3,0,7,18,0,0,31,61,0,0,5.105263157894737,12.125,3.03125,0.7071067811865476,0.7071067811865476
344,1,2,5,9,0,1,26,8,0,0,34.4,57.333333333333336,12.74074074074074,0.25881904510252074,0.9659258262890683
407,1,2,5,14,1,1,44,4,1,1,27.133333333333333,67.83333333333333,9.044444444444444,0.25881904510252074,0.9659258262890683
428,1,0,8,6,1,0,43,35,1,0,61.142857142857146,47.55555555555556,9.727272727272727,0.25881904510252074,0.9659258262890683
451,3,0,8,14,1,1,44,75,1,1,30.066666666666666,50.111111111111114,10.022222222222222,0.7071067811865476,0.7071067811865476
349,4,1,4,25,1,1,33,2,1,1,13.423076923076923,69.8,10.264705882352942,0.8660254037844386,0.5000000000000001
90,4,1,1,24,1,1,48,64,0,1,3.6,45.0,1.836734693877551,0.8660254037844386,0.5000000000000001
226,2,2,2,19,1,0,30,75,0,0,11.3,75.33333333333333,7.290322580645161,0.49999999999999994,0.8660254037844387
350,4,1,3,24,1,0,16,40,0,0,14.0,87.5,20.58823529411765,0.8660254037844386,0.5000000000000001
479,1,3,2,23,1,1,37,54,1,1,19.958333333333332,159.66666666666666,12.605263157894736,0.25881904510252074,0.9659258262890683
139,4,0,4,21,1,1,27,89,1,1,6.318181818181818,27.8,4.964285714285714,0.8660254037844386,0.5000000000000001
451,1,2,9,25,0,1,39,80,1,1,17.346153846153847,45.1,11.275,0.25881904510252074,0.9659258262890683
270,2,0,8,8,1,1,15,80,1,1,30.0,30.0,16.875,0.49999999999999994,0.8660254037844387
373,2,2,2,21,0,1,23,19,1,1,16.954545454545453,124.33333333333333,15.541666666666666,0.49999999999999994,0.8660254037844387
432,2,3,2,14,0,1,23,44,1,1,28.8,144.0,18.0,0.49999999999999994,0.8660254037844387
467,3,2,3,7,0,0,47,24,1,0,58.375,116.75,9.729166666666666,0.7071067811865476,0.7071067811865476
88,4,1,4,6,1,1,49,2,1,1,12.571428571428571,17.6,1.76,0.8660254037844386,0.5000000000000001
116,2,0,10,15,0,0,20,48,1,0,7.25,10.545454545454545,5.523809523809524,0.49999999999999994,0.8660254037844387
50,3,3,9,6,1,1,14,59,1,1,7.142857142857143,5.0,3.3333333333333335,0.7071067811865476,0.7071067811865476
440,3,3,10,5,0,1,19,77,1,1,73.33333333333333,40.0,22.0,0.7071067811865476,0.7071067811865476
321,1,1,10,16,1,0,17,49,0,0,18.88235294117647,29.181818181818183,17.833333333333332,0.25881904510252074,0.9659258262890683
359,1,0,4,6,1,0,49,18,1,0,51.285714285714285,71.8,7.18,0.25881904510252074,0.9659258262890683
275,1,1,3,16,0,1,36,0,1,1,16.176470588235293,68.75,7.4324324324324325,0.25881904510252074,0.9659258262890683
453,1,0,9,8,0,0,19,16,1,0,50.333333333333336,45.3,22.65,0.25881904510252074,0.9659258262890683
61,1,2,3,5,1,0,20,47,1,0,10.166666666666666,15.25,2.9047619047619047,0.25881904510252074,0.9659258262890683
488,1,0,6,23,0,1,37,10,1,1,20.333333333333332,69.71428571428571,12.842105263157896,0.25881904510252074,0.9659258262890683
250,1,2,7,22,1,1,11,79,0,1,10.869565217391305,31.25,20.833333333333332,0.25881904510252074,0.9659258262890683
295,2,0,10,12,1,0,25,60,0,0,22.692307692307693,26.818181818181817,11.346153846153847,0.49999999999999994,0.8660254037844387
176,2,1,10,10,0,0,31,63,1,1,16.0,16.0,5.5,0.49999999999999994,0.8660254037844387
463,3,3,4,21,1,1,33,57,1,1,21.045454545454547,92.6,13.617647058823529,0.7071067811865476,0.7071067811865476
401,2,1,1,22,1,0,26,15,1,0,17.434782608695652,200.5,14.851851851851851,0.49999999999999994,0.8660254037844387
348,3,2,8,17,0,1,40,46,0,0,19.333333333333332,38.666666666666664,8.487804878048781,0.7071067811865476,0.7071067811865476
479,4,3,9,11,1,0,29,28,1,0,39.916666666666664,47.9,15.966666666666667,0.8660254037844386,0.5000000000000001
469,1,1,9,9,0,1,30,7,1,1,46.9,46.9,15.129032258064516,0.25881904510252074,0.9659258262890683
179,1,0,2,7,0,1,33,87,0,1,22.375,59.666666666666664,5.264705882352941,0.25881904510252074,0.9659258262890683
450,2,2,8,7,1,0,15,82,1,1,56.25,50.0,28.125,0.49999999999999994,0.8660254037844387
259,4,1,7,20,1,1,14,18,1,1,12.333333333333334,32.375,17.266666666666666,0.8660254037844386,0.5000000000000001
124,4,1,5,20,0,0,40,31,1,0,5.904761904761905,20.666666666666668,3.024390243902439,0.8660254037844386,0.5000000000000001
291,1,0,1,25,0,1,20,76,1,1,11.192307692307692,145.5,13.857142857142858,0.25881904510252074,0.9659258262890683
417,2,3,4,14,1,1,21,11,1,1,27.8,83.4,18.954545454545453,0.49999999999999994,0.8660254037844387
374,2,0,2,12,0,0,48,51,0,0,28.76923076923077,124.66666666666667,7.63265306122449,0.49999999999999994,0.8660254037844387
442,2,3,8,14,1,1,44,87,1,1,29.466666666666665,49.111111111111114,9.822222222222223,0.49999999999999994,0.8660254037844387
248,3,3,6,24,0,0,18,45,1,0,9.92,35.42857142857143,13.052631578947368,0.7071067811865476,0.7071067811865476
121,2,1,5,8,1,0,18,59,1,0,13.444444444444445,20.166666666666668,6.368421052631579,0.49999999999999994,0.8660254037844387
393,3,2,7,14,0,0,27,19,0,0,26.2,49.125,14.035714285714286,0.7071067811865476,0.7071067811865476
396,2,1,6,14,1,1,46,85,0,1,26.4,56.57142857142857,8.425531914893616,0.49999999999999994,0.8660254037844387
236,2,3,10,14,0,0,43,60,0,0,15.733333333333333,21.454545454545453,5.363636363636363,0.49999999999999994,0.8660254037844387
154,2,2,1,18,1,1,36,6,1,1,8.105263157894736,77.0,4.162162162162162,0.49999999999999994,0.8660254037844387
392,2,1,4,15,0,0,46,48,0,0,24.5,78.4,8.340425531914894,0.49999999999999994,0.8660254037844387
257,3,2,5,11,1,1,14,89,0,1,21.416666666666668,42.833333333333336,17.133333333333333,0.7071067811865476,0.7071067811865476
397,2,3,10,7,1,1,34,29,1,1,49.625,36.09090909090909,11.342857142857143,0.49999999999999994,0.8660254037844387
